指标名,英文名,英文简称,类别,左边界,右边界,单位,专业解读,建议,适用范围,健康解读
3磷酸甘油醛脱氢酶,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,酶学检测,2341,428,UL,3磷酸甘油醛脱氢酶(Glyceraldehyde-3-phosphate dehydrogenase，GAPD)的系统名为D-甘油醛-3-磷酸：辅酶I氧化还原酶(具磷酸化作用)。它催化3-磷酸甘油醛氧化(脱氢)和磷酸化，生成1，3-二磷酸甘油酸，是糖代谢的中心环节，故对糖代谢起着重要的作用。,该酶测定方法较为复杂，且酶活性不稳定，给常规应用带来一定的困难。,急性心肌梗塞、急性肝炎、酒精性肝病、肝硬变、慢性肾盂肾炎、多发性骨髓病、肺炎、肺气肿等疾病的诊断。,血清GAPD总活性升高可能与急性心肌梗塞、急性肝炎、酒精性肝病、肝硬变等疾病有关。
5'-核苷酸酶,5'-Nucleotidase,5NT,肝功能,2,17,U/L,5'-核苷酸酶是一种对底物特异性不高的水解酶，可作用于多种核苷酸。此酶主要来源于肝脏，广泛存在于人体组织，如肝、胆、肠、脑、心、胰等。定位于细胞质膜上，在肝内此酶主要存在于胆小管和窦状隙膜内。血清中5NT测定主要用于肝胆系统疾病的诊断和骨骼疾病的鉴别诊断。,5NT与ALP联合检测有助于鉴别血清ALP升高是肝胆疾病还是骨骼疾病所致。,肝胆系统疾病的诊断和骨骼疾病的鉴别诊断。,血清中5NT活性增高主要见于肝胆系统疾病，如阻塞性黄疸、原发性及继发性肝癌、肝炎等。在骨骼系统疾病中，如肿瘤转移、畸形性骨炎、甲状旁腺机能亢进、佝偻病等，ALP活性通常增高，但5NT正常。
AST/ALT,AST to ALT ratio,AST_ALT_ratio,肝功能,0.8,1.5,,AST/ALT正常值范围是0.8-1.5。AST/ALT即天门冬氨酸氨基转移酶和丙氨酸氨基转移酶的比值，是肝功能的常用指标之一，用来反映肝细胞受损的情况。AST/ALT的升高和降低，对一些肝脏疾病有提示意义。,"1、AST/ALT降低
ALT主要分布在肝脏的肝细胞胞浆中，其次是骨骼肌、肾脏、心肌等组织中。急性肝炎、慢性肝炎和轻型肝炎时，虽有肝细胞的损伤，但是肝细胞的线粒体仍保持完整，故释放入血的只有存在于肝细胞浆内的ALT，所以肝功能主要表现为ALT的升高，AST/ALT的比值<1。

2、AST/ALT增高
AST主要分布在心肌，其次在肝脏、骨骼肌和肾脏组织中，在肝脏主要是肝细胞胞浆和肝细胞的线粒体中。重型肝炎和中型及重型慢性肝炎，肝细胞的线粒体遭到了严重的破坏，AST从线粒体和胞浆内释出，因而表现出 AST/ALT的比值1。肝硬化和肝癌患者肝细胞的破坏程度更加严重，线粒体也受到了严重的破坏，因此AST升高明显AST/ALT的比值>1，甚至大于2。

AST/ALT不在正常值范围内的人群，在日常生活中还需注意戒酒、避免油腻饮食、规律作息、避免熬夜。当出现肝功能恶化表现时，建议及时去医院，完善相关检查，进行治疗。",成人,
BMI,Body mass index,BMI,体格测量,18.5,23.9,,BMI（即体质指数）作为评估人体胖瘦程度及健康状态的一个重要指标，被广泛应用于日常健康管理和医学研究中。,"BMI小于18.5（kg/m^2）：表示体重过轻，可能存在营养不良或健康状况不佳的风险。对于这部分人群，建议适当增加营养摄入，尤其是优质蛋白质和高能量食物，以改善身体状况。
BMI在18.5~23.9（kg/m^2）：属于正常体重范围，表明体重与健康状况相匹配。大多数人在这个范围内都能保持良好的身体状态和生活质量。
BMI大于等于24（kg/m^2）：表示超重或肥胖，随着BMI值的增加，健康风险也会相应增加。肥胖与多种慢性疾病密切相关，如心血管疾病、糖尿病、高血压等。因此，对于超重和肥胖人群，应积极采取措施进行体重管理。",成人,
B_2微球蛋白,Beta-2 microglobulin,B2M,肾功能,0.8,2.2,mg/L,  β2微球蛋白（beta-2 microglobulin，简称β2-MG）是人类细胞膜上含有一种小分子蛋白质，是细胞凋亡和免疫系统在某些疾病情况下产生的标志性物质之一。检测人体β2-MG的水平和参考范围可用于指导某些疾病的筛查和诊断。β2-MG的检测通常通过血清或尿液样本进行。β2-MG 的正常参考值随年龄和患者状态的不同而有所差异，参考范围在不同的检测方法中存在差异。常见的血清检测参考范围大约在0.8-2.2 mg/L之间，而尿液中的β2-MG参考范围为0-300mg/L。简单来说，β2-MG水平在一定范围内属于正常状态，超出该范围可能提示某些疾病，例如急慢性肾脏病、艾滋病、某些淋巴瘤 等。,β2微球蛋白主要通过肾脏代谢，当肾脏滤过功能下降时，血液中β2微球蛋白水平会升高。常见原因包括慢性肾病、肾小球肾炎、糖尿病肾病等。治疗方法包括控制原发病，如糖尿病或高血压患者需严格管理血糖和血压。药物治疗可选择ACE抑制剂、ARB类药物或利尿剂，必要时进行透析或肾移植。,成人,
C-反应蛋白,C-reactive protein,CRP,炎症反应,0,2.87,mg/L,C-反应蛋白（C-reactive protein，CRP）是在机体受到感染或组织损伤时血浆中一些急剧上升的蛋白质（急性蛋白），有激活补体和加强吞噬细胞的吞噬而起调理作用，并能够清除入侵机体的病原微生物和损伤、坏死、凋亡的组织细胞。C反应蛋白是一种非特异性炎性标志物，其正常值范围因不同的测量方法、实验室条件以及人群特征而有所差异，C反应蛋白的正常值范围因多种因素而异，但一般可以在0-10mg/L或更具体的范围内波动。,"CRP测定的临床意义：
（1）各种急性炎症、组织损伤、心肌梗死、手术创伤、放射性损伤等疾病发作后数小时迅速升高，并有成倍增长之势。病变好转时，又迅速降至正常，其升高幅度与感染的程度呈正相关。手术后患者CRP升高，术后7~10天CRP水平应下降，如CRP不降低或再次升高，提示可能并发感染或血栓栓塞。
（2）CRP与其他炎症因子，如白细胞总数、红细胞沉降率和多形核白细胞等具有密切相关性。又与WBC存在正相关。在炎症反应中起着积极作用，使人体具有非特异性抵抗力。在患者疾病发作时，可早于WBC而上升，恢复正常也很快，故具有极高的敏感性。
（3）帮助辨别呼吸道感染类型。CRP可用于细菌和病毒感染的鉴别诊断：细菌感染时，CRP水平升高；而病毒感染时，CRP不升高或轻度升高，因此CRP值可以帮助医生辨别呼吸道感染的类型，有针对性的给予药物和治疗。
（4）恶性肿瘤患者CRP都升高，如CRP与AFP的联合检测，可用于肝癌与肝脏良性疾病的鉴别诊断，应用于肝癌疗效及预后的判断。手术前CRP上升，手术后则下降，且其反应不受放疗、化疗和皮质激素治疗的影响，有助于评估肿瘤的进程。
（5）评估急性胰腺炎的严重程度，当CRP高于250mg/L时，则提示为广泛坏死性胰腺炎。
（6）用超敏乳胶增强法测CRP，能提高测定的敏感性，可用于冠心病和心梗危险性的预测",成人,
DNA多聚酶,DNA polymerase,DNAP,酶学检测,0,25,cpm,基因是遗传的物质基础，它决定了病原体的生物特性。除个别病毒外，现知的所有微生物均是以核酸为遗传物质。乙肝病毒的基因是脱氧核糖核酸(DNA)，与病毒复制所必需的DNA聚合酶关系密切。因此基因检测成为乙肝检测组成部分。,此酶的活性可在乙肝病毒感染的早期发现，甚至于在HBsAg出现前检出。可作为乙肝病毒复制及有传染性的标志。,乙肝病毒持续感染者、急性乙型肝炎潜伏期、初期、繁殖期、乙型慢性肝炎、乙型慢性肝炎的e抗体阳性、DNA多聚酶高值时说明肝功能恶化。,升高：乙肝病毒持续感染者、急性乙型肝炎潜伏期、初期、繁殖期、乙型慢性肝炎、乙型慢性肝炎的e抗体阳性、DNA多聚酶高值时说明肝功能恶化。降低：乙型慢性肝炎的e抗原阳性者。
L-谷氨酸脱氢酶,Glutamate dehydrogenase,GLUD,肝功能,2.5,80,U/L,该酶集中分布于动物肝细胞线粒体基质中，是尿素循环的关键酶类之一。在哺乳动物代谢中，它既是氨基酸分解代谢的重要参与者，也是氨同化作用的唯一碳源供应者。血清L-谷氨酸脱氢酶活性升高可作为肝细胞线粒体损伤的特异性指标。,临床检测中可通过ELISA法、酶偶联法或比色法进行测定。保存时需注意冻干粉在-20°C下可稳定保存12个月，悬浮液制剂需避免反复冻融。,广泛应用于氨、酮戊二酸等代谢产物的检测，以及肝性脑病发病机制研究等科研领域。,该酶活性异常可能反映肝细胞线粒体损伤，正常活性范围对维持氨基酸代谢和氨解毒功能至关重要。
N-乙酰基转移酶,N-acetyltransferase,NAT,酶学检测,,,,N-乙酰基转移酶（NAT）是一类催化乙酰基团在乙酰辅酶A与胺类底物间转移的酶类，其系统分类编号为E.C.2.3.1.5。该酶对芳香胺具有底物特异性，既能通过乙酰辅酶A介导的乙酰化反应修饰胺类物质，也可直接在两分子芳香胺间转移乙酰基。人类基因组中NAT1和NAT2基因编码的酶参与药物代谢与解毒，其中NAT1分布于外周组织，NAT2主要存在于肝脏，两者的基因多态性导致个体乙酰化代谢能力差异，并被FDA列为药物基因组生物标记。,,药物代谢与解毒,
N-乙酰胞壁质聚糖水解酶,Lysozyme,LZM,酶学检测,3,3,无,"通过专一性裂解肽聚糖分子的N-乙酰胞壁酸与乙酰葡萄糖胺之间的1,4糖苷键，破坏革兰氏阳性菌细胞壁的完整性，导致细胞渗透压失衡而裂解死亡。对革兰氏阴性菌作用有限，因其外膜结构阻碍酶分子接触肽聚糖层。",常与Nisin、柠檬酸等物质复配应用于食品防腐领域。,食品防腐,该酶在酸性条件下具有优异的热稳定性（pH 3.0时96℃加热15分钟仍保留87%活性），与壳聚糖结合制成的涂膜液对腌腊肉制品的菌落总数增长具有显著抑制作用。
V8蛋白酶,Endoproteinase Glu-C,GluC,酶学检测,4,10,U/mg,V8蛋白酶（EC 3.4.21.19）是一种丝氨酸蛋白酶家族成员，主要来源于金黄色葡萄球菌V8株（Staphylococcus aureus strain V8）。该酶可特异性水解谷氨酸（Glu）或天冬氨酸（Asp）残基羧基侧的肽键，其切割位点受缓冲液pH值影响：在pH 7.8的磷酸盐缓冲液中可识别Glu和Asp，而在pH 4.0的醋酸铵缓冲液中仅作用于Glu，且对Glu的水解速率更高。,该酶需在20或28条件下保存，冻干粉形态可稳定储存12个月。使用时需注意防护，避免皮肤和眼部接触。,蛋白质测序、肽图谱分析及蛋白质组学研究,该酶属于危险化学品（H315H334等），接触需佩戴防护装备，防范皮肤眼部接触。生产过程中通过电泳检测确保纯度，避免动物源性污染。
Y-谷氨酰转移酶,Gamma-glutamyl transferase,GGT,肝功能,0,50,U/L,谷氨酰转移酶（GGT），又称γ-谷氨酰转移酶，主要存在肝细胞膜和微粒体上，参与谷胱甘肽的代谢。肾脏、肝脏和胰腺含量丰富，但血清中GGT主要来自肝胆系统。GGT在肝脏中广泛分布于肝细胞的毛细胆管一侧和整个胆管系统，因此当肝内合成亢进或胆汁排出受阻时，血清中GGT增高。,"GGT升高见于以下情况：
1、肝胆疾病
肝内或肝后胆管梗阻者血清GGT上升最高，可达正常水平的5~30倍，GGT对阻塞性黄疸性胆管炎、胆囊炎的敏感性高于碱性磷酸酶，原发性或继发性肝炎患者的GGT水平也会升高，且较其他肝脏酶类上升显著；急性肝炎、脂肪肝、药物中毒者的GGT中度升高，一般为正常参考值的2~5倍；酒精性肝硬化、大多数嗜酒者GGT值可升高。慢性肝炎、肝硬化患者GGT持续升高，提示病情不稳定或有恶化趋势；而逐渐下降，则提示肝内病变向非活动区域移行。原发性肝癌时，血清GGT活性显著升高，特别在判断恶性肿瘤患者有无肝转移和肝癌术后有无复发时，阳性率可达90%。
2、胰腺疾病
急、慢性胰腺炎，胰腺肿瘤时可达参考上限的5~15倍。囊性纤维化(胰腺纤维性囊肿)伴有肝脏并发症时GGT值可升高。
3、其他疾病
脂肪肝、心肌梗死、前列腺肿瘤。
4、药物
抗惊厥药苯妥英钠、镇静药苯卫比妥或乙醇常致GGT升高。",成人,
γ-谷氨酰转肽酶,Gamma-glutamyl transpeptidase,GGT,肝功能,7,45,U/L,与胆道疾病、酒精、药物代谢诱导有关。,明显升高时建议肝胆系统评估。,成人、儿童,GGT是评估胆道功能和肝毒性反应的重要指标。
上皮细胞,Epithelial cells,EC,尿常规,0,5,/HP,正常成人尿液中上皮细胞通常为每高倍视野下0-5个，女性可能略多但不超过10个（鳞状上皮细胞为主）。上皮细胞数量受取样方式、体液类型、生理状态等因素影响，需结合具体检测项目及临床表现综合判断。,"数量增多1.
生理性增多：女性尿液污染（如阴道分泌物混入）、剧烈运动后或饮水不足导致尿液浓缩。
病理性增多：
鳞状上皮细胞：尿道炎、阴道炎等局部感染。
移行上皮细胞：膀胱炎、输尿管结石。
肾小管上皮细胞：急性肾小管坏死、肾移植排斥反应。
形态异常2.
角化细胞：长期慢性刺激（如吸烟者痰液）。
核异质细胞：需警惕癌前病变或恶性肿瘤可能，需进一步活检确认。",成人,
中性粒细胞百分比,Neutrophil percentage,NEU%,血常规,50,75,%,"通常中性粒细胞升高预示着身体处于一种警戒状态，例如炎症、损伤等，常见的可能情况如下：
1.细菌感染：如扁桃体发炎、肺炎、阑尾炎等。此时由于体内细菌入侵，中性粒细胞作为边防军启动警戒状态，导致其增多。
2.应激反应：烧伤、心梗以及特别剧烈运动等。此时身体处于应激或损伤状态，导致免疫系统启动，也会造成中性粒细胞升高应对机体损伤和应激等恢复。
3.激素影响：一些特殊情况下，免疫系统会受到激素的影响（例如孕期、糖皮质激素药物（如泼尼松）的使用）也会造成免疫系统激活导致中性粒细胞升高。
中性粒细胞降低预示着身体哪些变化
通常中性粒细胞降低往往预示着身体免疫机能不足或者受到了损害，常见的可能情况如下：
1.病毒感染：例如流感等疾病。由于病毒主要靠躲到人体细胞内扰乱身体健康，中性粒细胞对清除细胞内的病原不擅长，导致其响应程度有限（不过不用担心，身体内的淋巴细胞很擅长对付病毒感染，所以病毒感染往往伴随淋巴细胞的升高，以增强作战能力，这也是血常规中还要配合淋巴细胞等指标诊断疾病的原因）。
2.放疗/化疗：由于放疗/化疗会对骨髓进行损伤，而骨髓作为中性粒细胞的“练兵场”，受到破坏会减少中性粒细胞的产生，所以此时患者需警惕感染，待身体恢复健康。
3.其他情况：如自身免疫病（红斑狼疮、类风湿性关节炎等），身体的免疫系统失调，有时会导致中性粒细胞被误伤受到破坏。另外一些营养不良微量元素缺乏也会导致中性粒细胞数量降低。
注意：虽然中性粒细胞减少预示了免疫机能失调或者不足，但是不代表提高中性粒细胞就能解决问题提高免疫力,不要相信市面上没有根据的提高免疫力的补剂。",中性粒细胞作为身体的免疫“边防军”，数量变化可以指示身体多项健康指标。大家在诊断时不用过度惊慌，配合医生诊断采取合理治疗能够让身体尽快恢复健康,成人,
中性粒细胞绝对值,Neutrophil count,NEU#,血常规,2.75,7.5,10^9/L,中性粒细胞绝对值是血液白细胞中中性粒细胞的定量指标，占白细胞总数的70%，具有吞噬细菌和抵御感染的功能。正常范围为2.5-7.5×10⁹/升，通过苏木精-伊红染色显示粉红中性颗粒。绝对值增高常见于细菌感染、剧烈运动或疼痛刺激；减少分为粒细胞减少症（×10⁹/L）和粒细胞缺乏症（×10⁹/L）。中性粒细胞减少的病因包括药物毒性、感染、自身免疫病、骨髓衰竭或遗传缺陷。,国际指南提出分层干预与精准修复策略：轻度减少（1.0-1.5×10⁹/L）采取观察与诱因去除、营养支持；中重度减少（×10⁹/L）使用粒细胞集落刺激因子及免疫抑制治疗。病因导向治疗涵盖药物/感染相关（G-CSF联合抗生素）、遗传性（CRISPR-Cas9基因疗法）和自身免疫性（补体抑制剂依库珠单抗）。感染防控包括预防性用药（ANC×10⁹/L时口服环丙沙星+氟康唑）和免疫球蛋白治疗。,成人,
乙型肝炎E抗体,Hepatitis B e antibody,Anti-HBe,传染病学,,,,乙型肝炎E抗体是机体受HBeAg刺激而产生的相应抗体，它和抗-HBc一样，也无保护作用。过去认为抗-HBe阳性是表示体内无HBV存在、无传染性，是预后良好的标志。但研究表明，有部分患者抗-HBe阳性，其血清中始终未出现过HBeAg，因为HBV基因存在变异，无法分泌HBeAg，在此情况下，虽然血清中无HBeAg，但病毒仍在复制，可出现病加剧现象。,乙肝e抗体阳性说明其体内病毒复制受到不同程度的抑制，说明血中HBV减少，传染性降低。但需要指出的是，乙肝e抗体并不能有效地杀灭乙肝病毒。只要体内有乙肝病毒，治疗都是必须的，而且e抗体阳性的乙肝患者治疗不及时的话，还有可能转化为e抗原阳性。,慢性乙型肝炎患者、无症状乙肝表面抗原携带者,乙肝e抗体阳性主要出现在无症状乙肝表面抗原携带者和慢性乙肝患者中间。这说明其体内病毒复制受到不同程度的抑制，说明血中HBV减少，传染性降低。
乙型肝炎病毒核心抗体,Hepatitis B core antibody,Anti-HBc,传染病学,阴性,阳性,无,乙肝核心抗体也叫抗-HBc，英文缩写是HBcAb。HBV感染后，在多数人血清中能检出此抗体，是一种敏感的血清学标志，也是乙型肝炎急性感染的早期标志，在血清中存在的时间很长，有些人滴度很高，它不是保护性抗体。HBcAb可分为三型：抗-HBcIgM、抗-cIgA、抗-HBcIgG，在HBV感染中这几个型依次出现，也会依次消失，只有IgG这一型可长期存在。,阳性说明有乙型肝炎继往感染史或现在感染者。游离乙型肝炎HBcAg一般不出现在血液中，但其免疫原性很强，抗HBc抗体是HBV感染后血清中最早出现的HBV的标志性抗体，在感染的“窗口期”可能是唯一能检测到的血清学标志抗体。,感染科、消化内科,一般认为，低滴度抗HBc抗体具有流行病学意义，而高滴度抗HBc抗体则是感染标志。但也有例外。抗-HBclgM型常常提示为急性HBV感染，或者在慢性乙肝急性发作、慢性乙肝进入活动期。抗-HBcIgG型常常提示慢性HBV感染，或者是既往感染。
乙型肝炎表面抗体,Hepatitis B surface antibody,Anti-HBs,传染病学,阴性或P/N<2.1,>10IU/L,IU/L,乙型肝炎表面抗体是机体受HBsAg刺激而产生的相应抗体，可以与HBsAg相结合，在体内其他免疫系统共同作用下清除病毒，保护机体不再受HBV的感染。抗-HBs是具有特异性保护功能的中和抗体，表明机体已产生免疫力。,抗-HBs阳性证明以往有过乙型肝炎病毒感染的历史，机体产生了一定的免疫力。注射乙型肝炎疫苗或打过抗-HBs免疫球蛋白，抗-HBs可呈阳性反应。抗-HBs是保护性抗体，血中抗体滴度在1：64或P/N>10以上时才对机体有保护作用和中和作用。,乙肝两对半检查内容,抗-HBs是疾病恢复、预后良好的血清学标志。急性乙肝患者HBsAg转阴后，至少有80%的人可以检出抗-HBs。
乙型肝炎表面抗原,Hepatitis B surface antigen,HBsAg,传染病学,0.18,1,ng/ml,乙肝病毒外壳部分含表面抗原即HBsAg，本身没有传染性但有抗原性，是乙肝病毒感染的标志之一。它可以表示过去感染过乙肝病毒，或者在受到乙肝病毒的感染。,定期检查乙肝表面抗体情况并每隔3-4年加强接种乙肝疫苗。,乙肝病毒感染检测,乙肝表面抗原阳性表示感染了乙肝病毒，但具体传染性需结合其他检测项目判断。表面抗原转阴表示乙肝痊愈，不会再传染。
乙酰谷氨酸合成酶,N-acetylglutamate synthase,NAGS,酶学检测,,,,催化乙酰CoA与谷氨酸缩合反应的酶，是尿素循环与氨基酸代谢中的关键酶类。通过催化谷氨酸和乙酰CoA生成N乙酰谷氨酸（AGA），作为氨基甲酰磷酸合成酶I（CPSI）的变构激活剂，调控尿素合成起始步骤。在微生物代谢工程中，该酶由argA基因编码，是鸟氨酸生物合成的限速酶，其活性调控直接影响代谢通量。近年研究发现其表达受表观遗传调控，并与肿瘤细胞代谢适应性相关。,,生物化学与分子生物学（一级学科），酶（二级学科）,在哺乳动物肝脏中，该酶催化生成N乙酰谷氨酸（AGA），通过与氨基甲酰磷酸合成酶I（CPSI）结合，将其活性提升5倍以上，从而促进氨基甲酰磷酸的生成。该过程是尿素循环的限速步骤，每分子尿素的生成需消耗2分子AGA。精氨酸可通过正向调控该酶活性促进尿素生成，该机制被应用于高氨血症的临床治疗。
乳酸脱氢酶,Lactate dehydrogenase,LDH,心肌损伤相关,35,88,U/L,乳酸脱氢酶是糖无氧酵解及糖异生的重要酶系之一，可催化丙酸与L-乳酸之间的还原与氧化反应，广泛存在于人体组织中，以肾脏含量最高，其次是心肌和骨肌。红细胞内LDH约为正常血清的100倍。,送检标本不能溶血，宜采用血清而不采用血浆。若血清中未除尽血块，无论在4℃还是室温存放标本，LDH活性都将明显增高。,诊断心肌梗死、肝病和某些恶性肿瘤。,乳酸脱氢酶升高常见于心肌梗死、肝脏疾病、血液病、骨骼肌损伤、肺梗死等。乳酸脱氢酶降低无意义。
亚硝酸盐,Nitrite,NIT,尿常规,0,3,mg/kg,亚硝酸盐是亚硝酸的盐类，含有亚硝酸根NO2-离子，为离子型化合物。外观上一般无色，味微咸。碱金属、碱土金属的亚硝酸盐易溶于水，热分解温度较高，甚至熔融状态也不分解；重金属的亚硝酸盐则微溶于水，热分解温度低。分解产物一般为氧化氮和二氧化氮、金属氧化物。,1. 蔬菜应妥善保存，防止腐烂，不吃腐烂的蔬菜。2. 食剩的熟菜不可在高温下存放长时间后再食用。3. 勿食大量刚腌的菜，腌菜时盐应多放，至少腌至15天以上再食用。4. 不要在短时间内吃大量叶菜类蔬菜，或先用开水焯5分钟，弃汤后再烹调。5. 肉制品中硝酸盐和亚硝酸盐用量要严格按国家卫生标准规定，不可多加。6. 多食入维生素C和维生素E，以及新鲜水果等。,食品加工、有机合成、偶氮染料生产、制造染料、药物等,亚硝酸盐有毒，摄入少量便会中毒，外部特征表现为有组织缺氧导致的青紫现象，如口唇、指甲、舌尖青紫，重症眼结膜、面部及全身皮肤出现青紫。轻者会头晕、头痛、耳鸣、乏力、心跳加速、嗜睡或烦躁、恶心、呕吐、腹痛、腹泻、四肢麻木、呼吸困难等。重度中毒者除以上症状外，可伴神志不清、抽搐、昏迷、心律失常、大小便失禁、休克甚至发生循环衰竭及肺水肿，常因呼吸衰竭而死亡。此外，亚硝酸盐还会严重污染水体。
交替氧化酶,Alternative oxidase,AOX,酶学检测,,,,交替氧化酶是植物体线粒体内膜上的线粒体呼吸链中抗氰呼吸途径的末端氧化酶。其作用是将UQH2的电子经FP传给O2生成H2O。该酶不为氰化物等所抑制，易被水杨基羟肟酸（水杨羟肟酸）抑制。交替氧化酶的分子量为2710337103，是一种双铁羧基蛋白，Fe2是其活性中心的金属。它不仅具有其它双铁羧基蛋白共有的结构特点以及去除分子氧的功能，更重要的是它还可以通过改变自身结构等方式来主动调节抗氰呼吸途径的运行程度，进而调节细胞多方面的代谢和功能，以适应环境条件的改变，增强植物适应各种逆境的能力，调节植物生长速率，并与细胞凋亡和光合作用相关。,,高等植物及部分真菌和藻类,
低密度脂蛋白,Low-density lipoprotein,LDL,血脂,0,3.12,mmol/L,低密度脂蛋白是一种运载胆固醇进入外周组织细胞的脂蛋白颗粒，可被氧化成氧化低密度脂蛋白，当低密度脂蛋白，尤其是氧化修饰的低密度脂蛋白（OX-LDL）过量时，它携带的胆固醇便积存在动脉壁上，久了容易引起动脉硬化。因此低密度脂蛋白被称为“坏的胆固醇”。,防止低密度脂蛋白被氧化和适度降低低密度脂蛋白对预防和治疗动脉粥样硬化意义重大。可通过饮食调整、增加运动、减少精神压力等方式降低LDL水平。,适用于评估心血管疾病风险，特别是动脉粥样硬化和冠心病的风险。,低密度脂蛋白水平过高会增加心血管疾病的风险，尤其是冠心病、脑卒中和外周动脉病等严重性疾病。保持LDL在正常范围内有助于维护心血管健康。
低密度脂蛋白胆固醇,Low-density lipoprotein cholesterol,LDL-C,血脂,2.1,3.1,mmol/L,胆固醇在血液中常以脂蛋白的形式存在，而血浆中低密度脂蛋白（Low Density Lipoprotein，LDL）是运输内源性胆固醇的主要载体，其通过结合其细胞膜上的低密度脂蛋白受体（LDL-R）被降解和转化。,"低密度脂蛋白达标对降低心血管疾病意义重大,对于存在心血管疾病危险因素的人（意思是还没得心血管病，但容易得心血管疾病的人）：肾小球滤过率＜60ml/min，或者年龄＞50岁、合并糖尿病、高血压，吸烟，既往有冠心病史，低密度脂蛋白胆固醇最好控制在2.6mmol/L以内。已有心血管疾病病史的人，最好控制在1.8mmol/L内。
",成人,
体质指数,Body mass index,BMI,体格测量,18.5,24.9,kg/m??,反映体重是否在健康范围，过低提示营养不良，过高提示超重或肥胖,维持合理饮食和规律运动，若偏离建议调整生活方式或咨询医生,成人,BMI是评估肥胖程度的常用工具，与多种慢病相关。
